Randomizer Version: 4.1.0
Random Seed: 240989149044460
Settings String: 314WQMBDgLuAfEB9AGSAAIeIQgBagYANABAAR8aEgAAAAAABAKIMgQywYsICTIGBgAyE1Bva2Vtb24gQmxhY2sgMiAoVSmlUnh848M4ig==

--Randomized Evolutions--
Bulbasaur       -> Lotad          
Shuppet         -> Azumarill      
Duskull         -> Marill         
Dusclops        -> Ledyba         
Wynaut          -> Carracosta     
Snorunt         -> Xatu and Espeon
Spheal          -> Chatot         
Sealeo          -> Gigalith       
Clamperl        -> Swablu and Altaria
Bagon           -> Carnivine      
Shelgon         -> Salamence      
Beldum          -> Drapion        
Metang          -> Metagross      
Turtwig         -> Typhlosion     
Grotle          -> Pidgeot        
Chimchar        -> Gengar         
Monferno        -> Flygon         
Piplup          -> Mienshao       
Prinplup        -> Darmanitan     
Starly          -> Kricketot      
Staravia        -> Leavanny       
Bidoof          -> Bronzor        
Kricketot       -> Charizard      
Shinx           -> Combee         
Luxio           -> Dewott         
Budew           -> Chandelure     
Cranidos        -> Gorebyss       
Shieldon        -> Bastiodon      
Burmy           -> Yanmega and Donphan
Combee          -> Vespiquen      
Buizel          -> Doduo          
Cherubi         -> Jellicent      
Shellos         -> Wobbuffet      
Drifloon        -> Drifblim       
Buneary         -> Pawniard       
Glameow         -> Togepi         
Chingling       -> Delcatty       
Stunky          -> Durant         
Bronzor         -> Flareon        
Bonsly          -> Garbodor       
Mime Jr.        -> Blitzle        
Happiny         -> Granbull       
Gible           -> Raikou         
Gabite          -> Entei          
Munchlax        -> Mewtwo         
Riolu           -> Mew            
Hippopotas      -> Lapras         
Skorupi         -> Latias         
Croagunk        -> Watchog        
Finneon         -> Altaria        
Mantyke         -> Articuno       
Snover          -> Darkrai        
Snivy           -> Quilava        
Servine         -> Wartortle      
Tepig           -> Golem          
Pignite         -> Tepig          
Oshawott        -> Kricketune     
Dewott          -> Victreebel     
Patrat          -> Forretress     
Lillipup        -> Shiftry        
Herdier         -> Haunter        
Purrloin        -> Magneton       
Pansage         -> Weedle         
Pansear         -> Cubchoo        
Panpour         -> Qwilfish       
Munna           -> Mismagius      
Pidove          -> Vibrava        
Tranquill       -> Trapinch       
Blitzle         -> Kabutops       
Roggenrola      -> Sandile        
Boldore         -> Kadabra        
Woobat          -> Butterfree     
Drilbur         -> Wynaut         
Timburr         -> Loudred        
Gurdurr         -> Exploud        
Tympole         -> Torterra       
Palpitoad       -> Tympole        
Sewaddle        -> Shaymin        
Swadloon        -> Ampharos       
Venipede        -> Reuniclus      
Whirlipede      -> Reuniclus      
Cottonee        -> Krabby         
Petilil         -> Seaking        
Sandile         -> Meganium       
Krokorok        -> Kecleon        
Darumaka        -> Bellsprout     
Dwebble         -> Drowzee        
Scraggy         -> Scyther        
Yamask          -> Dugtrio        
Tirtouga        -> Magcargo       
Archen          -> Porygon-Z      
Trubbish        -> Kangaskhan     
Zorua           -> Nidorino       
Minccino        -> Togekiss       
Gothita         -> Machop         
Gothorita       -> Nidoking       
Solosis         -> Whirlipede     
Duosion         -> Sunflora       
Ducklett        -> Magby          
Vanillite       -> Hydreigon      
Vanillish       -> Tornadus       
Deerling        -> Shelmet        
Karrablast      -> Glaceon        
Foongus         -> Pineco         
Frillish        -> Simisear       
Joltik          -> Cascoon        
Ferroseed       -> Mankey         
Klink           -> Monferno       
Klang           -> Seedot         
Tynamo          -> Lairon         
Eelektrik       -> Manaphy        
Elgyem          -> Ursaring       
Litwick         -> Budew          
Lampent         -> Swadloon       
Axew            -> Aerodactyl     
Fraxure         -> Magikarp       
Cubchoo         -> Stunfisk       
Shelmet         -> Umbreon        
Mienfoo         -> Prinplup       
Golett          -> Pelipper       
Pawniard        -> Jolteon        
Rufflet         -> Braviary       
Vullaby         -> Azelf          
Deino           -> Sharpedo       
Zweilous        -> Reshiram       
Larvesta        -> Regirock       

--Pokemon Base Stats & Types--
NUM|NAME         |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
  1|Bulbasaur    |ROCK             |  83|  32|  15|  61|  62|  65|Big Pecks   |--          |Ice Body    |Power Herb (common), Revive (dark grass only)
  2|Ivysaur      |ROCK             | 126|  16| 103|  38|  34|  89|Skill Link  |Zen Mode    |Battle Armor|Scope Lens (rare), Heal Ball (dark grass only)
  3|Venusaur     |ROCK             |  99| 100|  20|  32| 161| 114|Sap Sipper  |Snow Warning|Forecast    |Flame Plate (common), Lansat Berry (rare)
  4|Charmander   |BUG              |  62|  25|  27|  62|  69|  64|Defeatist   |--          |Bad Dreams  |Water Stone (dark grass only)
  5|Charmeleon   |BUG              |  81|  33|  35|  81|  91|  84|Defeatist   |--          |Bad Dreams  |Green Scarf (100%)
  6|Charizard    |BUG/DARK         | 138|  47|  66|  91|  97|  94|Limber      |--          |Swarm       |Lava Cookie (common), Lum Berry (rare)
  7|Squirtle     |ELECTRIC         |  23|  53|  88|  28|  84|  37|Wonder Guard|Hydration   |Color Change|
  8|Wartortle    |ELECTRIC         |  68| 114|  81|  32|  48|  62|Shed Skin   |--          |Stall       |
  9|Blastoise    |ELECTRIC         |  39|  90| 149|  47| 142|  63|Wonder Guard|Hydration   |Color Change|Kasib Berry (rare), Big Nugget (dark grass only)
 10|Caterpie     |ICE/ELECTRIC     |  29|  40|  25|  34|  23|  44|Harvest     |Heatproof   |Oblivious   |Swift Wing (rare), Red Scarf (dark grass only)
 11|Metapod      |ICE/ELECTRIC     |  30|  18|  49|  29|  45|  34|Normalize   |Water Veil  |Big Pecks   |
 12|Butterfree   |ICE/ELECTRIC     |  98|  15|  41| 106|  32|  93|Limber      |--          |Contrary    |Moon Stone (dark grass only)
 13|Weedle       |FIGHTING/POISON  |  80|  33|  15|  29|  23|  15|Snow Warning|--          |Aftermath   |Spell Tag (dark grass only)
 14|Kakuna       |FIGHTING/POISON  |  44|  39|  21|  31|  21|  47|Solar Power |--          |Slow Start  |Lustrous Orb (common)
 15|Beedrill     |FIGHTING/POISON  |  43|  71|  72|  69|  54|  76|Forewarn    |Sand Veil   |Imposter    |Smoke Ball (common), Grip Claw (rare), Power Bracer (dark grass only)
 16|Pidgey       |ELECTRIC         |  35|  71|  46|  72|  11|  16|Solar Power |--          |Water Veil  |Flame Plate (common), Net Ball (rare), Persim Berry (dark grass only)
 17|Pidgeotto    |ELECTRIC         |  94|  73|  43|  41|  79|  20|Poison Touch|--          |Intimidate  |
 18|Pidgeot      |ELECTRIC         | 127|  98|  58|  55| 106|  27|Poison Touch|--          |Intimidate  |Apicot Berry (100%)
 19|Rattata      |FLYING/FIRE      |  49|  33|  57|  16|  68|  30|Reckless    |Magic Guard |Rattled     |Max Revive (dark grass only)
 20|Raticate     |FLYING/FIRE      |  75|  40|  58| 101|  32| 106|Analytic    |--          |Sheer Force |Smooth Rock (common), Guard Spec. (rare), Pass Orb (dark grass only)
 21|Spearow      |GROUND           |  44|  61|  18|  71|  24|  44|Iron Fist   |--          |Super Luck  |Genius Wing (common), Premier Ball (dark grass only)
 22|Fearow       |GROUND/WATER     |  23|  97| 140|  37|  77|  68|Swarm       |Bad Dreams  |Hydration   |X Speed (common), Carbos (rare)
 23|Ekans        |FLYING           |  27|   8|  78|  39|  52|  84|Levitate    |--          |Battle Armor|Old Gateau (common), Master Ball (dark grass only)
 24|Arbok        |FLYING/NORMAL    |  71| 117|  29|  78| 108|  36|Analytic    |--          |Technician  |Light Clay (common), Red Flute (rare), Toxic Plate (dark grass only)
 25|Pikachu      |PSYCHIC          |  45|  48|  50|  69|  60|  28|Sniper      |Unburden    |Sturdy      |Rindo Berry (dark grass only)
 26|Raichu       |PSYCHIC          |  36| 102| 131|  20| 152|  34|Solar Power |Light Metal |Filter      |Wepear Berry (dark grass only)
 27|Sandshrew    |BUG              |  48|  33|  64|  54|  52|  49|Regenerator |Rattled     |Victory Star|Rare Candy (dark grass only)
 28|Sandslash    |BUG/FIRE         |  36|  84|  50|  51| 134|  95|Color Change|Overgrow    |Drought     |Nest Ball (rare)
 29|Nidoran♀     |FLYING           |  60|  17|  34|  56|  53|  54|Healer      |Huge Power  |Levitate    |Float Stone (dark grass only)
 30|Nidorina     |FLYING           | 100|  89|  23|  15|  73|  66|Dry Skin    |--          |Shadow Tag  |Antidote (common), Thunderstone (rare)
 31|Nidoqueen    |FLYING/NORMAL    | 108|  31|  61| 101|  96|  98|Healer      |Huge Power  |Levitate    |Grepa Berry (rare), Electirizer (dark grass only)
 32|Nidoran♂     |BUG              |  57|  29|  29|  47|  51|  60|Normalize   |Heavy Metal |Pure Power  |Rose Incense (common), Focus Band (rare)
 33|Nidorino     |BUG              |  77|  15|  87|  35|  70|  80|Poison Touch|Hydration   |Flower Gift |Cleanse Tag (rare)
 34|Nidoking     |BUG/FIGHTING     | 135| 120|  32|  20|  99|  89|Dry Skin    |--          |Shadow Tag  |Toxic Orb (dark grass only)
 35|Clefairy     |ROCK/ELECTRIC    |  37|  78|  28|  33|  80|  67|Solid Rock  |--          |Illusion    |
 36|Clefable     |ROCK/ELECTRIC    |  86|  54| 123|  39| 138|  33|Ice Body    |--          |Scrappy     |Adamant Orb (dark grass only)
 37|Vulpix       |BUG/FIGHTING     |  24|  56|  33|  34|  89|  63|Color Change|Overgrow    |Drought     |Lax Incense (100%)
 38|Ninetales    |BUG/FIGHTING     | 207|  85|  39|  75|  60|  39|Snow Warning|--          |Aftermath   |Heart Scale (100%)
 39|Jigglypuff   |FLYING/GROUND    |  47|  69|  58|  30|  28|  39|Drought     |--          |Minus       |Hyper Potion (rare)
 40|Wigglytuff   |FLYING/GROUND    |  50|  73|  66|  83| 119|  34|Unnerve     |--          |Torrent     |Stable Mulch (rare)
 41|Zubat        |FLYING           |  37|  52|  44|  20|  50|  42|Swift Swim  |Immunity    |Water Veil  |Ultra Ball (rare), Lagging Tail (dark grass only)
 42|Golbat       |FLYING/PSYCHIC   |  43|  13| 124|  61|  82| 132|Levitate    |--          |Battle Armor|Leppa Berry (common), Kelpsy Berry (rare)
 43|Oddish       |ROCK             |  89|  85|  33|  69|  15|  29|Analytic    |--          |Reckless    |Moon Stone (common), DeepSeaScale (dark grass only)
 44|Gloom        |ROCK             | 161|  31|  17|  14|  46| 126|Clear Body  |--          |Sand Force  |X Sp. Def (dark grass only)
 45|Vileplume    |GROUND           |  70|  53|  92|  57| 133|  75|Infiltrator |--          |Friend Guard|Lansat Berry (dark grass only)
 46|Paras        |ICE/ELECTRIC     |  56|  47|  24|  71|  49|  39|Levitate    |Friend Guard|Defiant     |Yellow Shard (dark grass only)
 47|Parasect     |ICE/ELECTRIC     |  60|  83|  52|  71|  47|  91|Harvest     |Heatproof   |Oblivious   |Thanks Mail (common), Heart Scale (rare)
 48|Venonat      |POISON           |  73|  72|  55|  65|  18|  23|Frisk       |--          |Shell Armor |Kasib Berry (rare)
 49|Venomoth     |POISON           |  58|  11| 136|  93|  83|  69|Anticipation|--          |Contrary    |TwistedSpoon (rare), Ghost Gem (dark grass only)
 50|Diglett      |GROUND           |  83|  28|  17|  42|  75|  20|Big Pecks   |--          |Stench      |Mind Plate (common), Thunderstone (dark grass only)
 51|Dugtrio      |GROUND           |  40|  55|  63|  84|  70|  94|Cursed Body |--          |Wonder Guard|Splash Plate (rare)
 52|Meowth       |PSYCHIC          |  68|  51|  43|  53|  40|  35|Soundproof  |Moxie       |Huge Power  |
 53|Persian      |PSYCHIC          |  91|  31|  85|  80|  98|  55|Flame Body  |--          |Simple      |Coba Berry (common)
 54|Psyduck      |NORMAL           |  54|  55|  64|  13|  86|  49|Telepathy   |--          |Swift Swim  |Ganlon Berry (common), Draco Plate (rare), Stardust (dark grass only)
 55|Golduck      |NORMAL/WATER     | 109|  62|  86|  57|  83| 103|Stall       |Regenerator |Turboblaze  |Chill Drive (dark grass only)
 56|Mankey       |PSYCHIC          |  80|  45|  29|  50|  42|  60|Water Veil  |--          |Snow Warning|HP Up (dark grass only)
 57|Primeape     |PSYCHIC          | 171|  41| 131|  32|  53|  27|Pickup      |--          |Illuminate  |Ultra Ball (dark grass only)
 58|Growlithe    |PSYCHIC          | 101|  42|  19|  12|  85|  91|Rain Dish   |Light Metal |Defeatist   |
 59|Arcanine     |PSYCHIC          |  58|  30|  24|  74| 178| 190|Sand Veil   |Victory Star|Unburden    |
 60|Poliwag      |NORMAL           |  43|  12|  41|  26|  99|  80|Clear Body  |Snow Cloak  |Technician  |
 61|Poliwhirl    |NORMAL           | 119|  24|  82|  52|  36|  72|Water Veil  |--          |Zen Mode    |
 62|Poliwrath    |POISON/NORMAL    | 112| 108|  90|  60|  92|  38|Pure Power  |Sand Force  |Defiant     |Pomeg Berry (common), Big Nugget (rare), Enigma Berry (dark grass only)
 63|Abra         |FLYING/DRAGON    |  52|  68|  52|  33|  49|  56|Tangled Feet|--          |Color Change|Dream Ball (common), BridgeMail D (rare)
 64|Kadabra      |FLYING/DRAGON    |  67|  49|  64|  91|  41|  88|Big Pecks   |--          |Drought     |Magmarizer (100%)
 65|Alakazam     |FLYING/DRAGON    |  39|  19| 120| 101| 116|  95|Suction Cups|Sand Rush   |Shield Dust |Starf Berry (rare)
 66|Machop       |FLYING/PSYCHIC   |  44|  52|  49|  56|  54|  50|Tangled Feet|Moxie       |White Smoke |
 67|Machoke      |FLYING/PSYCHIC   |  32|  16|  99|  83|  96|  78|Suction Cups|Sand Rush   |Shield Dust |BridgeMail S (rare)
 68|Machamp      |FLYING/PSYCHIC   |  73|  86|  81|  93|  89|  83|Tangled Feet|Moxie       |White Smoke |
 69|Bellsprout   |GHOST/PSYCHIC    |  52|  53|  54|  24|  48|  69|Zen Mode    |Magma Armor |Inner Focus |Everstone (dark grass only)
 70|Weepinbell   |GHOST/PSYCHIC    | 101|  23|  80|  71|  44|  71|Frisk       |Shell Armor |Drought     |Zinc (rare), Ice Heal (dark grass only)
 71|Victreebel   |GHOST/PSYCHIC    |  33|  95| 108| 114| 115|  15|Justified   |Scrappy     |Poison Point|Skull Fossil (100%)
 72|Tentacool    |GHOST            |  27| 114|  27|  35|  50|  82|Guts        |--          |Overgrow    |
 73|Tentacruel   |GHOST            |  41| 175|  41|  54|  76| 126|Guts        |--          |Overgrow    |Quick Ball (common), Rowap Berry (rare), Scope Lens (dark grass only)
 74|Geodude      |DRAGON           |  43|  64|  65|  53|  17|  59|Limber      |--          |Stench      |Normal Gem (100%)
 75|Graveler     |DRAGON           |  63|  70|  65|  32|  77|  84|Sticky Hold |Iron Barbs  |Cute Charm  |Cornn Berry (rare), Toxic Plate (dark grass only)
 76|Golem        |DRAGON           |  50| 143|  17|  28| 146|  99|Wonder Guard|--          |Toxic Boost |Pearl String (common), Rowap Berry (rare), Red Shard (dark grass only)
 77|Ponyta       |NORMAL/GROUND    |  44|  90|  96|  19|  64|  96|Static      |Defeatist   |Mummy       |Stick (dark grass only)
 78|Rapidash     |NORMAL/GROUND    |  84| 116|  34| 135|  46|  84|Iron Fist   |--          |Super Luck  |Damp Rock (rare)
 79|Slowpoke     |GROUND           |  54|  69|  20|  55|  41|  76|Big Pecks   |--          |Iron Fist   |
 80|Slowbro      |WATER/FIRE       | 110| 110| 112|  47|  32|  79|Leaf Guard  |Natural Cure|Synchronize |Passho Berry (dark grass only)
 81|Magnemite    |PSYCHIC/ROCK     |  76|  57|  48|  59|  45|  39|Soundproof  |Moxie       |Huge Power  |Old Gateau (common), Sitrus Berry (rare), Dream Ball (dark grass only)
 82|Magneton     |PSYCHIC/ROCK     | 110|  92|  53|  67|  62|  81|Overgrow    |--          |Regenerator |Damp Mulch (dark grass only)
 83|Farfetch'd   |NORMAL/GHOST     |  68|  83|  86|  21|  17|  76|Compoundeyes|--          |Own Tempo   |Pure Incense (dark grass only)
 84|Doduo        |NORMAL/DRAGON    |  62|  23|  70|  87|  15|  54|Normalize   |--          |Flash Fire  |
 85|Dodrio       |NORMAL/DRAGON    | 117|  66|  25|  79| 103|  70|Forewarn    |Shed Skin   |Hustle      |Stick (common), RageCandyBar (dark grass only)
 86|Seel         |ELECTRIC/FLYING  |  44|  23|  23|  74|  31| 130|Sand Rush   |--          |Sheer Force |Ultra Ball (rare)
 87|Dewgong      |ELECTRIC/FLYING  | 127|  90|  32|  34|  84| 109|Tangled Feet|Tinted Lens |Weak Armor  |Thanks Mail (rare), Spooky Plate (dark grass only)
 88|Grimer       |ICE              |  48|  67|  42|  57|  38|  73|Harvest     |Heatproof   |Oblivious   |Chesto Berry (common), Nugget (dark grass only)
 89|Muk          |ICE/ROCK         | 117|  88|  74|  91|  69|  60|Soundproof  |Moxie       |Huge Power  |Razz Berry (common)
 90|Shellder     |DARK             |  52|  51|  51|  28|  74|  49|Skill Link  |--          |Water Absorb|Growth Mulch (common)
 91|Cloyster     |DARK             | 170|  25|  74|  77|  30| 150|Zen Mode    |Overcoat    |Cute Charm  |
 92|Gastly       |STEEL            |  43|  71|  53|  54|  68|  20|Prankster   |--          |Heatproof   |Potion (100%)
 93|Haunter      |STEEL            |  72|  51|  71|  84|  66|  60|Swarm       |Water Absorb|Toxic Boost |Casteliacone (rare), Damp Rock (dark grass only)
 94|Gengar       |STEEL            |  70| 115|  86|  87| 110|  32|Prankster   |--          |Heatproof   |Relic Band (common), Pamtre Berry (rare), Chilan Berry (dark grass only)
 95|Onix         |FLYING/ELECTRIC  |  75|  63|  32|  96|  66|  52|Levitate    |Friend Guard|Defiant     |Sacred Ash (rare), Persim Berry (dark grass only)
 96|Drowzee      |POISON/BUG       |  61|  73|  63|  26|  57|  49|Inner Focus |--          |Iron Fist   |SilverPowder (100%)
 97|Hypno        |POISON/BUG       | 141|  29| 111|  49|  59|  94|Limber      |--          |Teravolt    |Douse Drive (rare), Smooth Rock (dark grass only)
 98|Krabby       |ELECTRIC/GRASS   |  43|  79|  74|  47|  36|  46|Lightningrod|--          |Oblivious   |Lava Cookie (common)
 99|Kingler      |ELECTRIC/GRASS   |  93|  78|  40| 118|  81|  65|Levitate    |Friend Guard|Defiant     |Mystic Water (common), Ghost Gem (rare)
100|Voltorb      |ROCK             |  51|  89|  74|  52|  11|  52|Download    |Sniper      |Leaf Guard  |Thanks Mail (common), Iron (rare)
101|Electrode    |ROCK             | 113| 105|  48| 126|  11|  78|Sheer Force |Battle Armor|Oblivious   |Red Scarf (dark grass only)
102|Exeggcute    |FLYING           |  24|  87|  25| 102|  26|  61|Anticipation|--          |Sniper      |
103|Exeggutor    |FLYING           |  39|  23| 104| 132| 137|  86|Soundproof  |--          |Sand Stream |
104|Cubone       |GHOST            |  93|  50|  71|  19|  77|  11|Serene Grace|Marvel Scale|Torrent     |
105|Marowak      |GHOST            | 123|  66|  94|  25| 102|  15|Serene Grace|Marvel Scale|Torrent     |Toxic Plate (dark grass only)
106|Hitmonlee    |PSYCHIC/STEEL    |  87|  82|  67|  82|  44|  93|Poison Touch|--          |Own Tempo   |
107|Hitmonchan   |STEEL/POISON     |  77|  78|  91|  18| 122|  69|Telepathy   |--          |Swift Swim  |Sitrus Berry (dark grass only)
108|Lickitung    |GHOST            |  78|  65|  68|  89|  57|  29|Iron Fist   |--          |Pressure    |BrightPowder (common), Honey (rare), Icy Rock (dark grass only)
109|Koffing      |ROCK             |  52|  67|  38|  62|  59|  61|Poison Point|--          |Frisk       |Float Stone (rare)
110|Weezing      |ROCK             |  95|  80|  69| 127|  85|  34|Anger Point |Flash Fire  |Rain Dish   |Relic Copper (100%)
111|Rhyhorn      |GHOST            |  45|  90|  95|  29|  62|  23|Speed Boost |Flash Fire  |Defiant     |Net Ball (dark grass only)
112|Rhydon       |GHOST            |  39| 165|  39|  51|  72| 119|Guts        |--          |Overgrow    |
113|Chansey      |DARK             |  88| 113|  43|  13| 161|  32|Unnerve     |Toxic Boost |Blaze       |Chill Drive (rare), Wacan Berry (dark grass only)
114|Tangela      |BUG/GRASS        |  70|  48|  93|  78|  76|  71|Regenerator |Rattled     |Victory Star|
115|Kangaskhan   |FLYING/ELECTRIC  |  66| 134|  42|  76| 128|  45|Unnerve     |--          |Forecast    |Dome Fossil (dark grass only)
116|Horsea       |FIRE             |  81|  33|  50|  68|  18|  45|Heavy Metal |Pickup      |Chlorophyll |Dawn Stone (dark grass only)
117|Seadra       |FIRE             | 121|  49|  75| 101|  27|  67|Heavy Metal |Pickup      |Chlorophyll |Sharp Beak (common), Yellow Shard (rare), Pinap Berry (dark grass only)
118|Goldeen      |NORMAL/POISON    |  54|  55|  64|  13|  86|  49|Telepathy   |--          |Swift Swim  |
119|Seaking      |NORMAL/POISON    | 100| 130|  27|  35|  23| 135|Wonder Guard|Reckless    |Lightningrod|HP Up (dark grass only)
120|Staryu       |STEEL            |  45|  93|  33|  48|  96|  25|Solar Power |--          |Leaf Guard  |
121|Starmie      |STEEL            |  69| 142|  50|  73| 147|  38|Solar Power |--          |Leaf Guard  |
122|Mr. Mime     |GHOST            |  87|  81|  71|  80|  81|  60|Wonder Guard|Poison Heal |Blaze       |Dread Plate (dark grass only)
123|Scyther      |ELECTRIC/FIRE    |  99| 104|  23|  24| 216|  33|Leaf Guard  |Swarm       |Arena Trap  |Max Repel (100%)
124|Jynx         |ICE/DRAGON       | 139| 137|  16|  13|  58|  91|Healer      |--          |Torrent     |Soda Pop (100%)
125|Electabuzz   |DARK             |  87|  64| 120| 149|  55|  14|Suction Cups|Immunity    |Color Change|Cell Battery (rare), Red Scarf (dark grass only)
126|Magmar       |GROUND           |  29| 107|  66|  91| 110|  93|Weak Armor  |Pickpocket  |Marvel Scale|Focus Sash (dark grass only)
127|Pinsir       |FIRE             |  43|  82| 156| 115|  45|  59|Quick Feet  |--          |Snow Warning|X Accuracy (common)
128|Tauros       |GHOST/ROCK       |  49|  38| 102|  90| 107| 104|Oblivious   |Own Tempo   |Hyper Cutter|Thick Club (rare)
129|Magikarp     |GHOST            |  55|  22|  21|  41|  11|  50|Poison Point|--          |Vital Spirit|
130|Gyarados     |GHOST            |  78| 151| 139|  33|  90|  49|Sheer Force |Teravolt    |Quick Feet  |Rare Bone (dark grass only)
131|Lapras       |DRAGON           |  39|  70|  49| 139| 141|  97|Cute Charm  |Drought     |Gluttony    |Razz Berry (common), Max Repel (dark grass only)
132|Ditto        |POISON/BUG       |  46|  32|  61|  52|  50|  47|Regenerator |Rattled     |Victory Star|Grass Gem (dark grass only)
